"RECORD_DATE","RECORD_VALUE","RECORD_CATEGORY_ID","UNIT_ID","CREATED_BY","UPDATED_BY","VERSION"
"2022-12-31 00:00:00","405","3","1","init","init","1"
"2023-01-31 00:00:00","413","3","1","init","init","1"
"2023-02-28 00:00:00","419","3","1","init","init","1"
"2023-03-31 00:00:00","428","3","1","init","init","1"
"2023-04-30 00:00:00","436","3","1","init","init","1"
"2023-05-31 00:00:00","445","3","1","init","init","1"
"2023-06-30 00:00:00","453","3","1","init","init","1"
"2023-07-31 00:00:00","464","3","1","init","init","1"
"2023-08-31 00:00:00","471","3","1","init","init","1"
"2023-09-30 00:00:00","481","3","1","init","init","1"
"2023-10-31 00:00:00","491","3","1","init","init","1"
"2023-11-30 00:00:00","502","3","1","init","init","1"
"2023-12-31 00:00:00","512","3","1","init","init","1"
"2024-01-31 00:00:00","522","3","1","init","init","1"
"2024-03-11 00:00:00","536","3","1","init","init","1"
"2024-03-31 00:00:00","543","3","1","init","init","1"
"2024-04-30 00:00:00","553","3","1","init","init","1"
"2024-05-31 00:00:00","560","3","1","init","init","1"
"2024-06-30 00:00:00","570","3","1","init","init","1"
"2024-07-31 00:00:00","580","3","1","init","init","1"
"2024-08-31 00:00:00","587","3","1","init","init","1"
"2024-09-30 00:00:00","598","3","1","init","init","1"
"2024-10-31 00:00:00","607","3","1","init","init","1"
"2024-11-30 00:00:00","618","3","1","init","init","1"
"2024-12-31 00:00:00","627","3","1","init","init","1"
"2025-01-31 00:00:00","638","3","1","init","init","1"
"2025-02-28 00:00:00","648","3","1","init","init","1"
"2025-03-31 00:00:00","658","3","1","init","init","1"
"2025-04-30 00:00:00","668","3","1","init","init","1"
"2025-05-31 00:00:00","679","3","1","init","init","1"
"2025-06-30 00:00:00","687","3","1","init","init","1"
"2013-09-07 00:00:00","733","2","2","init","init","1"
"2014-04-21 00:00:00","1937","2","2","init","init","1"
"2014-06-29 00:00:00","2242","2","2","init","init","1"
"2014-09-06 00:00:00","2552","2","2","init","init","1"
"2014-12-05 00:00:00","3165","2","2","init","init","1"
